platform,application,service,unit,quantity,cost,line_items,last_seen
duckdb,usage_facts,storage,rows,7.0,,1,2026-08-15
duckdb,warehouse,storage,tables,2.0,,1,2026-08-15
duckdb,warehouse,storage,MB,0.0117,,1,2026-08-15
github,meghanabv19.github.io,actions,Minutes,54.0,0.0,1,2026-07-01
github,meg-portfolio,actions,Minutes,49.0,0.0,1,2026-08-01
github,FastAPI_blog,codespaces,Hours,0.51199,0.0,1,2026-07-01
github,FastAPI_blog,codespaces,GigabyteHours,0.001260696,0.0,1,2026-07-01
github,cloud-cost-platform,actions,GigabyteHours,0.000705312,0.0,1,2026-08-01
supabase,api-requests,supabase,requests,336.0,,1,2026-08-15
vercel,account,plan:hobby,projects,1.0,0.0,1,2026-08-15
